panelist_id,year_of_birth,country,has_ios,has_android,compliance_band,data_quality_band
P000001,1986,Country 2,TRUE,TRUE,High,High
P000002,1993,Country 1,TRUE,FALSE,High,Low
P000003,1995,Country 3,FALSE,TRUE,High,High
P000004,1984,Country 2,FALSE,TRUE,High,Medium
P000005,1991,Country 1,FALSE,TRUE,Medium,Low
P000006,1985,Country 3,TRUE,FALSE,High,High
P000007,1992,Country 2,FALSE,TRUE,High,High
P000008,1989,Country 2,FALSE,TRUE,High,Low
P000009,1977,Country 1,FALSE,TRUE,High,High
P000010,1998,Country 1,TRUE,FALSE,High,High
P000011,2005,Country 1,FALSE,TRUE,High,Low
P000012,1972,Country 3,FALSE,TRUE,Medium,High
P000013,1984,Country 2,FALSE,TRUE,Medium,High
P000014,2008,Country 3,FALSE,TRUE,High,High
P000015,1994,Country 1,FALSE,TRUE,Medium,Medium
P000016,1996,Country 1,FALSE,TRUE,High,High
P000017,1998,Country 2,TRUE,FALSE,High,Low
P000018,1993,Country 1,FALSE,TRUE,High,Medium
P000019,1963,Country 3,FALSE,TRUE,High,High
P000020,1968,Country 2,TRUE,FALSE,High,High
P000021,1953,Country 2,FALSE,TRUE,Medium,Medium
P000022,2006,Country 1,FALSE,TRUE,High,Low
P000023,2000,Country 3,TRUE,FALSE,High,Low
P000024,1972,Country 3,FALSE,TRUE,High,High
P000025,2001,Country 2,FALSE,TRUE,High,High
P000026,1993,Country 1,FALSE,TRUE,Low,High
P000027,1993,Country 1,FALSE,TRUE,High,High
P000028,2001,Country 1,FALSE,TRUE,Low,High
P000029,2005,Country 1,FALSE,TRUE,Medium,High
P000030,1992,Country 2,FALSE,TRUE,High,Low
P000031,1995,Country 2,FALSE,TRUE,High,High
P000032,2002,Country 3,FALSE,TRUE,High,High
P000033,1996,Country 1,FALSE,TRUE,Medium,High
P000034,2002,Country 1,FALSE,TRUE,High,High
P000035,1986,Country 1,FALSE,TRUE,High,High
P000036,1990,Country 1,FALSE,TRUE,Medium,High
P000037,1986,Country 1,FALSE,TRUE,High,Low
P000038,1993,Country 1,FALSE,TRUE,High,High
P000039,2007,Country 1,FALSE,TRUE,High,High
P000040,2008,Country 2,FALSE,TRUE,High,High
P000041,2006,Country 1,FALSE,TRUE,High,High
P000042,1999,Country 3,TRUE,FALSE,High,High
P000043,1972,Country 2,FALSE,TRUE,Medium,High
P000044,1991,Country 1,FALSE,TRUE,Low,Medium
P000045,1976,Country 3,FALSE,TRUE,High,High
P000046,1991,Country 3,FALSE,TRUE,High,Medium
P000047,1973,Country 1,FALSE,TRUE,High,Medium
P000048,2003,Country 1,FALSE,TRUE,High,Medium
P000049,2007,Country 2,TRUE,TRUE,High,Low
P000050,1971,Country 1,FALSE,TRUE,High,High
P000051,1988,Country 1,FALSE,TRUE,Medium,High
P000052,2004,Country 1,FALSE,TRUE,Low,Medium
P000053,2000,Country 2,FALSE,TRUE,High,High
P000054,1977,Country 2,FALSE,TRUE,High,High
P000055,1991,Country 2,FALSE,TRUE,High,High
P000056,1991,Country 2,FALSE,TRUE,High,High
P000057,1995,Country 1,FALSE,TRUE,High,High
P000058,1984,Country 2,TRUE,FALSE,High,Low
P000059,2008,Country 1,FALSE,TRUE,High,Low
P000060,1998,Country 1,FALSE,TRUE,High,Medium
P000061,1990,Country 2,FALSE,TRUE,High,Medium
P000062,2003,Country 1,FALSE,TRUE,Low,High
P000063,2008,Country 2,FALSE,TRUE,High,Low
P000064,1979,Country 2,FALSE,TRUE,High,High
P000065,1996,Country 2,FALSE,TRUE,High,Medium
P000066,1997,Country 2,TRUE,FALSE,High,High
P000067,1986,Country 2,TRUE,FALSE,High,High
P000068,1995,Country 1,FALSE,TRUE,High,High
P000069,2002,Country 1,FALSE,TRUE,Medium,Low
P000070,1990,Country 1,FALSE,TRUE,High,High
P000071,1989,Country 1,FALSE,TRUE,High,Medium
P000072,1999,Country 1,FALSE,TRUE,High,Medium
P000073,1987,Country 3,FALSE,TRUE,High,High
P000074,1998,Country 1,FALSE,TRUE,High,High
P000075,1990,Country 1,FALSE,TRUE,High,High
P000076,2002,Country 1,FALSE,TRUE,High,High
P000077,1994,Country 1,TRUE,FALSE,Low,Low
P000078,1993,Country 2,FALSE,TRUE,High,High
P000079,1963,Country 2,TRUE,FALSE,High,High
P000080,2000,Country 2,TRUE,FALSE,High,High
P000081,1997,Country 2,FALSE,TRUE,Medium,Low
P000082,2008,Country 1,FALSE,TRUE,Medium,Low
P000083,1987,Country 3,FALSE,TRUE,High,Medium
P000084,1994,Country 1,FALSE,TRUE,High,High
P000085,2008,Country 1,FALSE,TRUE,High,Medium
P000086,1996,Country 1,FALSE,TRUE,High,Medium
P000087,1973,Country 2,TRUE,FALSE,High,High
P000088,1997,Country 1,FALSE,TRUE,High,Low
P000089,1999,Country 1,FALSE,TRUE,High,Low
P000090,1987,Country 2,FALSE,TRUE,Medium,Low
P000091,2000,Country 1,FALSE,TRUE,Medium,High
P000092,1988,Country 2,FALSE,TRUE,High,Medium
P000093,1996,Country 1,FALSE,TRUE,High,High
P000094,2001,Country 1,FALSE,TRUE,High,Low
P000095,1976,Country 1,FALSE,TRUE,Low,High
P000096,1989,Country 2,TRUE,FALSE,High,High
P000097,2001,Country 1,FALSE,TRUE,High,High
P000098,1983,Country 1,FALSE,TRUE,High,Low
P000099,2006,Country 1,FALSE,TRUE,High,Medium
P000100,1993,Country 3,FALSE,TRUE,High,High
P000101,1998,Country 3,FALSE,TRUE,High,Low
P000102,1979,Country 2,FALSE,TRUE,High,High
P000103,1996,Country 1,FALSE,TRUE,High,High
P000104,1960,Country 3,TRUE,FALSE,High,High
P000105,1991,Country 2,FALSE,TRUE,High,Medium
P000106,1999,Country 2,TRUE,FALSE,Low,High
P000107,1986,Country 1,FALSE,TRUE,High,High
P000108,1992,Country 1,TRUE,FALSE,High,High
P000109,1996,Country 1,FALSE,TRUE,Medium,Low
P000110,2002,Country 3,FALSE,TRUE,Medium,High
P000111,1982,Country 1,FALSE,TRUE,Low,High
P000112,2002,Country 1,FALSE,TRUE,Medium,High
P000113,1988,Country 1,FALSE,TRUE,Low,Low
P000114,1996,Country 2,FALSE,TRUE,High,High
P000115,2000,Country 1,FALSE,TRUE,High,Medium
P000116,1992,Country 3,FALSE,TRUE,High,High
P000117,1969,Country 2,FALSE,TRUE,High,High
